sys_id,number,short_description,description,category,subcategory,priority,state,assigned_to,assignment_group,resolution_notes,close_notes,opened_at,closed_at,sys_updated_on
a1b2c3d4e5f60001,INC0001001,社内ポータルにログインできない,朝9時頃から社内ポータル（https://portal.example.co.jp）にログインしようとすると「認証エラー」と表示される。パスワードは正しく入力している。Chrome と Edge の両方で再現する。,ソフトウェア,認証,2,7,田中 太郎,ITサービスデスク,Active Directory の認証サーバーが一時的に過負荷状態だった。AD サーバーの再起動後に正常復旧。影響ユーザー約50名。,AD サーバー監視アラートの閾値を調整済み。,2025-01-15 09:12:00,2025-01-15 10:45:00,2025-01-15 10:45:00
a1b2c3d4e5f60002,INC0001002,メール送信時にタイムアウトエラーが発生,Outlook からメール送信を行うと「サーバーへの接続がタイムアウトしました」とエラーが表示される。受信は正常に動作している。添付ファイルのないメールでも同様。,ソフトウェア,メール,2,7,鈴木 花子,メールシステム管理,Exchange サーバーの送信キューが詰まっていた。キューのクリアと SMTP サービスの再起動で復旧。,送信キュー監視ジョブを15分間隔に変更。,2025-01-18 14:30:00,2025-01-18 16:00:00,2025-01-18 16:00:00
a1b2c3d4e5f60003,INC0001003,VPN 接続が頻繁に切断される,リモートワーク中に VPN 接続が10-15分おきに切断される。再接続は可能だが作業効率が著しく低下している。GlobalProtect クライアント v6.1 を使用。,ネットワーク,VPN,3,7,佐藤 次郎,ネットワーク運用,GlobalProtect クライアントの MTU 設定が不適切だった。MTU を 1400 から 1300 に変更し安定化。クライアント設定の一括配信で全社展開済み。,VPN クライアント設定テンプレートを更新。,2025-01-20 10:00:00,2025-01-22 14:30:00,2025-01-22 14:30:00
a1b2c3d4e5f60004,INC0001004,基幹システムのレスポンスが極端に遅い,午前中の業務時間帯（9:00-12:00）に基幹システム（SAP）のトランザクション応答が通常の5倍以上かかる。特に在庫照会と受注登録で顕著。,ソフトウェア,パフォーマンス,1,7,高橋 誠,基幹システム運用,データベースの統計情報が古くなっていた。統計情報の再収集と実行計画の再生成で改善。ピーク時の応答時間が5秒→0.8秒に回復。,週次での統計情報更新ジョブをスケジュール追加。,2025-01-25 09:30:00,2025-01-25 13:00:00,2025-01-25 13:00:00
a1b2c3d4e5f60005,INC0001005,社内 Wi-Fi に接続できない（3F 会議室エリア）,3階の会議室エリアで Wi-Fi（SSID: CORP-WIFI）に接続できない。他のフロアでは正常に接続可能。スマートフォンとノートPCの両方で再現。,ネットワーク,無線LAN,3,7,山田 健一,ネットワーク運用,3F の無線 AP（Cisco Aironet）のファームウェアバグにより DHCP リース配布が停止していた。ファームウェアを v17.9.4a に更新して解消。,全 AP のファームウェアバージョン棚卸しを実施。,2025-02-01 13:15:00,2025-02-02 10:00:00,2025-02-02 10:00:00
a1b2c3d4e5f60006,INC0001006,経費精算システムでファイル添付ができない,経費精算システムで領収書画像（JPG/PNG）を添付しようとするとアップロードが0%のまま進まない。ブラウザのコンソールに CORS エラーが表示されている。,ソフトウェア,Webアプリケーション,3,7,伊藤 美咲,アプリケーション開発,CDN の CORS 設定が最新デプロイで欠落していた。Azure CDN の CORS ポリシーに対象ドメインを再追加して解消。,デプロイパイプラインに CORS 設定チェックを追加。,2025-02-05 11:00:00,2025-02-05 15:30:00,2025-02-05 15:30:00
a1b2c3d4e5f60007,INC0001007,プリンタ（複合機MFP-4F-01）から印刷できない,4階の複合機 MFP-4F-01 に印刷ジョブを送信しても出力されない。印刷キューにはジョブが溜まっている状態。他のプリンタからは印刷可能。,ハードウェア,プリンタ,4,7,渡辺 翔太,オフィスインフラ,プリントスプーラーサービスが停止していた。サービス再起動で復旧。溜まっていた印刷ジョブも順次出力された。,複合機の死活監視を Zabbix に追加。,2025-02-10 16:00:00,2025-02-10 16:30:00,2025-02-10 16:30:00
a1b2c3d4e5f60008,INC0001008,Teams 会議で画面共有ができない,Microsoft Teams の会議中に画面共有を開始しようとすると「共有を開始できません」とエラーになる。音声とビデオは正常。Windows 11 で再現。,ソフトウェア,コラボレーション,3,7,中村 真理,Microsoft 365 運用,GPU ドライバの互換性問題。Intel UHD Graphics ドライバを最新版（v31.0.101.5768）に更新して解消。ハードウェアアクセラレーション設定も最適化。,Teams の推奨ドライババージョンを社内 FAQ に追加。,2025-02-12 10:30:00,2025-02-13 09:00:00,2025-02-13 09:00:00
a1b2c3d4e5f60009,INC0001009,データベースのバックアップジョブが失敗している,本番環境の SQL Server 日次バックアップジョブが3日連続で失敗。エラーログには「ディスク領域不足」と記録されている。バックアップ先は NAS（\\\\nas01\\backup）。,ソフトウェア,データベース,1,7,小林 大輔,データベース管理,NAS のバックアップ領域が90日以上前の古いバックアップで圧迫されていた。保持期間ポリシーを90日→30日に変更し40%の領域を回収。即時バックアップ成功を確認。,バックアップ領域の使用率80%でアラート発報するよう設定。,2025-02-15 08:00:00,2025-02-15 11:00:00,2025-02-15 11:00:00
a1b2c3d4e5f60010,INC0001010,社内システムで二要素認証のSMSが届かない,Azure AD の MFA 設定で SMS 認証を選択しているが確認コードが届かない。複数のユーザーから同時に報告あり。Authenticator アプリは正常動作。,セキュリティ,認証,2,7,加藤 優子,セキュリティ運用,SMS プロバイダー（Twilio）の API キーが期限切れだった。新しい API キーを生成して Azure AD のカスタム設定に反映。テスト送信で正常動作を確認。,API キー有効期限の監視を四半期ごとのチェックリストに追加。,2025-02-18 08:45:00,2025-02-18 10:15:00,2025-02-18 10:15:00
a1b2c3d4e5f60011,INC0001011,勤怠管理システムが500エラーを返す,勤怠管理システム（https://kintai.example.co.jp）にアクセスすると HTTP 500 Internal Server Error が表示される。月末の勤怠締め日に発生。,ソフトウェア,Webアプリケーション,1,7,松本 理恵,アプリケーション開発,月末のバッチ処理とオンライントランザクションの競合によるデッドロック。アプリケーションサーバーの接続プール設定を見直し、トランザクション分離レベルを READ COMMITTED SNAPSHOT に変更。,月末バッチのスケジュールを業務時間外（22:00）に移動。,2025-02-28 09:00:00,2025-02-28 12:30:00,2025-02-28 12:30:00
a1b2c3d4e5f60012,INC0001012,新入社員のPCでドメイン参加ができない,新入社員用に配布した PC（Dell Latitude 5540）でドメイン参加を試みるとエラーコード 0x0000232B が表示される。DNS 設定は正しく構成済み。,ハードウェア,PC セットアップ,3,6,井上 航,ITサービスデスク,PC のセキュアチャネルパスワードのリセットが必要だった。netdom reset コマンドで解消。同ロットの他 PC は問題なし。,キッティング手順書にドメイン参加前の確認手順を追加。,2025-03-03 14:00:00,2025-03-03 15:00:00,2025-03-03 15:00:00
a1b2c3d4e5f60013,INC0001013,APIゲートウェイで429エラーが多発,外部向け REST API のゲートウェイ（Azure API Management）で429 Too Many Requests エラーが急増。正規クライアントのリクエストもレート制限に引っかかっている。,ソフトウェア,API,2,7,木村 拓也,クラウド運用,特定の IP アドレスからの大量リクエスト（Bot攻撃）がレート制限枠を消費していた。該当 IP をブロックリストに追加し、正規クライアントには専用サブスクリプションキーで優先枠を設定。,WAF ルールに自動ブロックポリシーを追加。,2025-03-05 11:30:00,2025-03-05 14:00:00,2025-03-05 14:00:00
a1b2c3d4e5f60014,INC0001014,SharePoint Online で大容量ファイルがアップロードできない,SharePoint Online のドキュメントライブラリに 250MB 以上のファイルをアップロードしようとすると途中でエラーになる。ブラウザ・OneDrive 同期クライアントの両方で再現。,ソフトウェア,ファイル共有,3,6,斉藤 明日香,Microsoft 365 運用,テナントのアップロード上限がデフォルト（250MB）のままだった。PowerShell で Set-SPOTenant -MaxFileSizeInMB を 15360 に引き上げ。チャンクアップロードも有効化。,ファイルサイズ制限の設定をテナント管理手順書に追記。,2025-03-08 15:00:00,2025-03-09 10:00:00,2025-03-09 10:00:00
a1b2c3d4e5f60015,INC0001015,CI/CD パイプラインのビルドが全て失敗,Azure DevOps のビルドパイプラインが全プロジェクトで失敗。エラーメッセージは「Agent pool has no available agents」。Self-hosted agent を使用。,ソフトウェア,DevOps,1,7,林 慎太郎,DevOps チーム,ビルドエージェントサーバーのディスクが満杯（Docker イメージキャッシュ肥大化）。docker system prune で 120GB を回収し、エージェントサービスを再起動。,Docker キャッシュの定期クリーンアップジョブを日次で設定。,2025-03-10 09:00:00,2025-03-10 10:30:00,2025-03-10 10:30:00
a1b2c3d4e5f60016,INC0001016,顧客管理システムのデータが文字化けする,顧客管理システム（CRM）で日本語の顧客名や住所が文字化けして表示される。先週のシステムアップデート後から発生。CSV エクスポートも文字化け。,ソフトウェア,データベース,2,7,山口 裕也,アプリケーション開発,システムアップデート時にデータベースの文字コード設定が UTF-8 から Latin1 に変更されていた。ALTER DATABASE で文字コードを UTF-8 に戻し、影響を受けたデータを修復。,アップデート手順に文字コード設定の確認ステップを追加。,2025-03-12 10:00:00,2025-03-12 17:00:00,2025-03-12 17:00:00
a1b2c3d4e5f60017,INC0001017,セキュリティスキャンで脆弱性が検出された,Qualys 脆弱性スキャンで本番 Web サーバーに CVE-2024-38816（Spring Framework パストラバーサル）の Critical 脆弱性が検出された。CVSS スコア 9.8。,セキュリティ,脆弱性,1,7,清水 麻衣,セキュリティ運用,Spring Framework を v6.1.14 にアップデートし脆弱性を解消。WAF で一時的にパストラバーサルパターンのブロックルールを追加済み。再スキャンで脆弱性非検出を確認。,依存ライブラリの脆弱性スキャンを CI パイプラインに統合。,2025-03-15 14:00:00,2025-03-16 18:00:00,2025-03-16 18:00:00
a1b2c3d4e5f60018,INC0001018,社内チャットボットが応答しない,社内 IT ヘルプデスクのチャットボット（Azure Bot Service）が全くの無応答状態。Teams チャネルから呼び出しても反応なし。,ソフトウェア,AI/チャットボット,2,6,岡田 英樹,AI プラットフォーム,Azure Bot Service の App Service Plan がスケールイン後にインスタンスが0になっていた。最小インスタンス数を1に設定し、ヘルスチェックエンドポイントを追加。,自動スケール設定の最小インスタンス数を見直し。,2025-03-18 09:00:00,2025-03-18 11:30:00,2025-03-18 11:30:00
a1b2c3d4e5f60019,INC0001019,リモートデスクトップ接続ができない,社内サーバーへのリモートデスクトップ（RDP）接続が「このコンピュータへの接続数が最大値に達しています」エラーで失敗する。,ネットワーク,リモートアクセス,3,7,藤田 彩花,サーバー運用,切断済みの古い RDP セッションが残存しセッション上限に達していた。qwinsta/logoff コマンドで不要セッションを解放。グループポリシーでセッションのアイドルタイムアウトを4時間に設定。,セッション管理ポリシーをサーバー運用手順書に追加。,2025-03-20 13:00:00,2025-03-20 14:00:00,2025-03-20 14:00:00
a1b2c3d4e5f60020,INC0001020,月次レポートのバッチジョブが異常終了,月次売上レポートの自動生成バッチが SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded で異常終了。月初のレポート配信に影響。,ソフトウェア,データベース,1,7,西田 浩二,データベース管理,大量 INSERT と SELECT FOR UPDATE の競合。innodb_lock_wait_timeout を50→120秒に引き上げ、レポートクエリに READ UNCOMMITTED ヒントを追加。バッチ正常完了を確認。,月次バッチの排他制御方式を見直し（楽観的ロックへの移行検討中）。,2025-03-25 03:00:00,2025-03-25 08:00:00,2025-03-25 08:00:00
a1b2c3d4e5f60021,INC0001021,Azure 仮想マシンが突然停止した,本番環境の Web サーバー VM（Standard_D4s_v3）が予告なく停止。Azure Activity Log に「VM deallocated due to Azure initiated maintenance」と記録。,クラウド,仮想マシン,1,7,大谷 一馬,クラウド運用,Azure のホストメンテナンスによる計画外再配置。可用性ゾーンへの移行と自動起動スクリプトを Azure Automation に設定。アラート通知も構成。,本番 VM を可用性セット/ゾーン構成に移行完了。,2025-03-28 02:15:00,2025-03-28 06:00:00,2025-03-28 06:00:00
a1b2c3d4e5f60022,INC0001022,社内検索エンジンの検索結果が古い,社内ナレッジベースの検索エンジン（Azure AI Search）で検索結果が1週間以上前のデータのまま更新されていない。新規記事がヒットしない。,ソフトウェア,検索,3,6,坂本 悠人,AI プラットフォーム,インデクサーのスケジュール実行が無効化されていた（先月のメンテナンス時に停止したまま）。スケジュールを再有効化し手動で全件再インデックスを実行。,インデクサー実行状態の監視ダッシュボードを作成。,2025-04-01 10:00:00,2025-04-01 12:00:00,2025-04-01 12:00:00
a1b2c3d4e5f60023,INC0001023,社内ネットワークの DNS 解決が遅い,社内ネットワークから外部サイトへのアクセスが遅い。nslookup では応答に3-5秒かかっている（通常は数ms）。内部 DNS サーバー経由で発生。,ネットワーク,DNS,2,2,石井 康介,ネットワーク運用,,対応中：DNS フォワーダーの設定調査中。上流 DNS サーバーとの通信遅延を確認。,2025-04-08 09:00:00,,2025-04-08 11:00:00
a1b2c3d4e5f60024,INC0001024,開発環境の Kubernetes Pod がCrashLoopBackOff,開発環境の Kubernetes クラスター（AKS）でフロントエンドアプリの Pod が CrashLoopBackOff 状態。kubectl logs にはメモリ不足のエラー。,ソフトウェア,コンテナ,3,2,前田 陽菜,DevOps チーム,,対応中：Pod のメモリリクエスト/リミット設定を見直し中。Node のリソース状況も確認中。,2025-04-09 14:30:00,,2025-04-09 16:00:00
a1b2c3d4e5f60025,INC0001025,メールの添付ファイルが暗号化されて開けない,取引先からのメール添付ファイル（ZIP）が自動的に暗号化されており解凍パスワードが不明。Information Protection ポリシーが原因の可能性。,セキュリティ,メール,4,1,,,,,新規受付。セキュリティポリシーの確認と取引先への連絡が必要。,2025-04-10 08:30:00,,2025-04-10 08:30:00
